ID cliente,Edad en la red,Gasto total al mes,Gasto en SMS por SMS,Gasto de datos por SMS,Consumo  total de datos,Velocidad promedio carga,Velocidad promedio descarga,Llamadas únicas,Llamadas caídas,Duración promedio llamada,Duración promedio llamadas al mismo operador,Duración promedio llamadas a otros operadores,Gasto llamadas al mismo operador,Gasto llamadas otro operador,Llamas por quejas al mes,Tipo de red preferida,Competidor favorito,Cancelación suscripción
ADF1330,29.6,878.65,8.76,47.5,115805.208,5.756665168,18.28727988,237,5,157.5529825,315.4684563,96.53170227,16570,19751,4,Other,Weematel,0
ADF1331,4,878.72,294,6.25,696816.2705,8.864864355,21.64846779,77,9,150.0309037,236.2733595,200.7182196,2208,419,3,Other,Mango,0
ADF1345,126.97,898.49,15.75,0,464885.6963,7.36774582,24.86130673,308,5,223.5082801,261.079239,277.5532689,762,6850,1,Other,PQza,0
ADF1349,3.6,904.322,155.66,80,799300.8506,9.77639195,13.30646664,84,14,150.5737288,178.70428,124.2090175,27197,1790,6,Other,Uxaa,0
ADF1363,26.5,920.142,0,0,47665.3779,5.072835755,24.71780214,1582,3,188.4602792,203.7104462,152.8689837,0,2441,3,Other,Mango,0
ADF1372,114.57,929.8244,11.87,16.25,717.7168,4.488304432,22.36878528,477,6,240.0995035,257.4616435,162.4908763,11268,25698,5,Other,PQza,0
ADF1403,4.23,989.51,0,0,98.3516,7.032565459,10.78653066,183,10,135.3758806,186.2848207,205.7082204,66456,11772,1,Other,ToCall,0
ADF1404,103.27,989.52,1.2,12.5,1290513.913,3.543981369,10.21113813,557,9,121.5350411,233.5102178,105.7886045,0,901,2,Other,Weematel,1
ADF1410,87.17,998.09,11.96,2.5,1581541.407,6.400899111,12.6334552,554,7,283.497055,248.1613612,37.02069887,0,1251,1,Other,Uxaa,0
ADF1425,127.23,1042.04,10.5,76.25,326820.4102,4.662492112,24.98678968,393,8,86.42915338,202.0679686,249.2717568,16236,29519,1,Other,PQza,0
ADF1429,112.73,1046.328,6.71,0,312453.664,6.210009392,13.16767556,364,8,220.0316597,155.0463051,129.6923021,6387,1899,1,Other,PQza,1
ADF1431,36.73,1049.1904,28.71,3.75,905747.2099,4.169435248,24.01505245,781,9,198.3439082,163.290787,88.34770292,0,358,2,Other,Weematel,0
ADF1433,50,1053.0588,59.47,3.75,17.998,7.358072442,20.26779496,122,12,153.0128876,179.2887017,127.1516844,33867,21572,1,Other,Mango,0
ADF1438,5.03,1060.24,53.7,0,800027.0616,9.211478104,16.17666798,593,7,286.3422448,211.0469079,178.1324226,6804,5568,3,Other,PQza,0
ADF1439,49.73,1061.848,14.64,0,77210.292,6.542527896,16.95589726,430,5,340.9630219,153.3936555,176.9542167,6642,713,2,Other,PQza,1
ADF1445,35.1,1078.9224,2.39,0,8.873,2.78272878,11.38228145,1174,4,349.4702796,260.1186344,156.6853236,2274,648,1,Other,Uxaa,0
ADF1450,95.73,1083.5468,0.87,0,92037.4433,5.408831206,20.38727431,772,6,156.2078707,220.1889281,190.7436787,5315,7421,5,Other,Weematel,0
ADF1452,94.3,1091.89,1.23,28.75,1875860.98,3.727972306,23.86489269,507,4,118.5378722,324.1400686,165.843957,0,895,7,Other,Uxaa,0
ADF1453,77.07,1093.922,14.6,70,459247.2343,4.730773941,17.62423681,63,7,272.8219727,212.3058743,174.8995859,4651,3848,4,Other,Zintel,0
ADF1456,122.87,1102.0668,20.02,37.5,382804.5332,6.536469947,13.34858466,99,7,274.6130163,205.274603,182.3476046,16672,21512,2,Other,PQza,0
ADF1462,4,1113.8684,4.14,1.25,0.1211,9.148644475,13.88628287,111,4,139.508683,388.8629757,199.5431165,102948,2192,2,Other,ToCall,0
ADF1465,109.93,1125.91,166.88,13.75,39512.8291,3.497403753,13.09950063,255,4,276.1010296,184.3227939,215.4079925,24180,16174,4,Other,Zintel,0
ADF1477,41.23,1148.69,5.98,0,1970897.523,4.713672275,24.75187502,1021,11,148.16705,168.0915804,139.4883142,6692,9321,2,Other,ToCall,1
ADF1481,56.83,1160.7688,5.25,0,348.5996,5.451073507,13.72418088,823,5,163.6023584,235.4646995,153.0045311,0,8494,1,Other,Weematel,0
ADF1489,28.63,1175.9616,4.37,0,30024.7451,9.309903625,12.26077446,398,13,322.0921501,319.2431182,126.8627976,50899,8694,1,Other,Zintel,0
ADF1502,32.7,1208.6004,1.75,2.5,31.3535,2.915754898,12.34904589,883,10,177.5612106,153.7006769,174.2839178,18345,7434,1,Other,Uxaa,0
ADF1503,178.3,1213.5504,9.48,0,151202.7188,1.926818715,15.30700106,379,11,126.2188107,93.01773804,171.6514073,3227,23159,1,Other,Uxaa,0
ADF1521,49.57,1254.8604,90.32,0,4491.7324,9.995264531,15.39014948,921,12,242.9476104,200.1955007,186.3230399,1497,14184,5,Other,PQza,0
ADF1554,71.73,20.74,0,1.25,873602.5283,9.877073267,18.10845498,50,5,123.2428548,190.2163326,113.5865418,24,701,1,Other,Uxaa,0
ADF1559,67.97,31.222,1.75,12.5,6426577.061,2.491668819,15.74605346,11,6,162.6391224,266.8397808,245.2426528,186,1224,1,Other,Uxaa,0
ADF1560,19.6,32.524,11.95,11.25,1018.0488,2.24185689,12.84186621,4,9,217.5621786,245.4849025,172.945001,24,358,1,Other,Uxaa,0
ADF1561,94.87,33.634,14.34,0,4181.1016,6.276414362,13.43457981,5,7,125.9100789,180.7678524,214.9052623,12,1439,1,Other,ToCall,0
ADF1562,46.37,34.034,3.5,17.5,1579.3291,5.321291295,24.73961178,7,14,308.472362,242.3708363,112.4858643,251,179,1,Other,PQza,0
ADF1563,79.37,34.41,7.17,5,546.4785,7.144572204,23.44959734,12,7,121.0463517,214.79485,202.1513915,371,179,1,Other,Uxaa,0
